date,realized_volatility
2021-11-09,0.018593591658659384
2021-11-10,0.05535512229628623
2021-11-11,0.027111697986859133
2021-11-12,0.0319812772094915
2021-11-13,0.02137371758359368
2021-11-14,0.02201249606529934
2021-11-15,0.023018683792167035
2021-11-16,0.04879413276497614
2021-11-17,0.04163707615019837
2021-11-18,0.04657401863015077
2021-11-19,0.032642272336894575
2021-11-20,0.02807851951503845
2021-11-21,0.02515408763678962
2021-11-22,0.04359725353665593
2021-11-23,0.041460439644518864
2021-11-24,0.0305487246581074
2021-11-25,0.024796172968205764
2021-11-26,0.041215459361510214
2021-11-27,0.0294899855230543
2021-11-28,0.03499772004707545
2021-11-29,0.02766802764548455
2021-11-30,0.041082713504015156
2021-12-01,0.03460282742763021
2021-12-02,0.03438052120037355
2021-12-03,0.04328822333382638
2021-12-04,0.1336895150277229
2021-12-05,0.042504330357009325
2021-12-06,0.05630114035607122
2021-12-07,0.031875170873511396
2021-12-08,0.03757445530204538
2021-12-09,0.03553777081746254
2021-12-10,0.0489761848774763
2021-12-11,0.03749569009092426
2021-12-12,0.023611991153456656
2021-12-13,0.04079224217301286
2021-12-14,0.040434212683142214
2021-12-15,0.04246157884934998
2021-12-16,0.027652695643805868
2021-12-17,0.03938269174203011
2021-12-18,0.026697494930244228
2021-12-19,0.032195939255799874
2021-12-20,0.031241596928326773
2021-12-21,0.02742956798061761
2021-12-22,0.021775797820050628
2021-12-23,0.02597645618648383
2021-12-24,0.025541849129830527
2021-12-25,0.018936691542382634
2021-12-26,0.023416588798133877
2021-12-27,0.021630488437699078
2021-12-28,0.0345079762760031
2021-12-29,0.032825070437432706
2021-12-30,0.027429034396724818
2021-12-31,0.032753782765433746
2022-01-01,0.02723919349140893
2022-01-02,0.023455722597926984
2022-01-03,0.024454326420271764
2022-01-04,0.029123247062380984
2022-01-05,0.04285601395751831
2022-01-06,0.02843873136571669
2022-01-07,0.04629417240692852
2022-01-08,0.030779038362465233
2022-01-09,0.027145255807206125
2022-01-10,0.04637183967817153
2022-01-11,0.030921396796983434
2022-01-12,0.026072568658588563
2022-01-13,0.029053550032495514
2022-01-14,0.02701354293385899
2022-01-15,0.018520425816980025
2022-01-16,0.019701153061794974
2022-01-17,0.024551689149689526
2022-01-18,0.025571177384869966
2022-01-19,0.029204835442094155
2022-01-20,0.030173172385801156
2022-01-21,0.06966519092432477
2022-01-22,0.06980675084644587
2022-01-23,0.04104453933151073
2022-01-24,0.06537167805946664
2022-01-25,0.0421971311536799
2022-01-26,0.057374647517130076
2022-01-27,0.04605900853916427
2022-01-28,0.03681417693842632
2022-01-29,0.029434620897296402
2022-01-30,0.02347918434994102
2022-01-31,0.03194116545574887
2022-02-01,0.03246948389905184
2022-02-02,0.028956174928998657
2022-02-03,0.03367752438671419
2022-02-04,0.04158606639232162
2022-02-05,0.02606947080909105
2022-02-06,0.025350045524190713
2022-02-07,0.030982770426350306
2022-02-08,0.03783620007864238
2022-02-09,0.03079096582869917
2022-02-10,0.046834760127863286
2022-02-11,0.04175926404238662
2022-02-12,0.02714154650163166
2022-02-13,0.02170297004026893
2022-02-14,0.024184488972161494
2022-02-15,0.023753449424498002
2022-02-16,0.02150179082343177
2022-02-17,0.033363669747968484
2022-02-18,0.036192693347331995
2022-02-19,0.01965876549308749
2022-02-20,0.026810099701877588
2022-02-21,0.05373101207808258
2022-02-22,0.042512951540912856
2022-02-23,0.03216434809595365
2022-02-24,0.07615593689918769
2022-02-25,0.042667159110245656
2022-02-26,0.02962164647293106
2022-02-27,0.043534605689746396
2022-02-28,0.06228050499331303
2022-03-01,0.038040893640037696
2022-03-02,0.04063129763987922
2022-03-03,0.0324380804419206
2022-03-04,0.04474715252030107
2022-03-05,0.02226521032558134
2022-03-06,0.03327921803737405
2022-03-07,0.04336437551402432
2022-03-08,0.0390135274455893
2022-03-09,0.037398559408693674
2022-03-10,0.04982824288089682
2022-03-11,0.04080274846589118
2022-03-12,0.01803190978720943
2022-03-13,0.027764994214379186
2022-03-14,0.03644867138818274
2022-03-15,0.027928355749799582
2022-03-16,0.06489478749105188
2022-03-17,0.023647722299944156
2022-03-18,0.024881854073302345
2022-03-19,0.01694782446762368
2022-03-20,0.019830802261308393
2022-03-21,0.026377739344268396
2022-03-22,0.03417440983952734
2022-03-23,0.023591733047548753
2022-03-24,0.023706184787302072
2022-03-25,0.021012228201805365
2022-03-26,0.014488559459266996
2022-03-27,0.03552407900230759
2022-03-28,0.026476175805295803
2022-03-29,0.0212758527312827
2022-03-30,0.021149839657807513
2022-03-31,0.025702071169184142
2022-04-01,0.028104147940056997
2022-04-02,0.026302625293236258
2022-04-03,0.025947189325527868
2022-04-04,0.022428250650858596
2022-04-05,0.02257744635943195
2022-04-06,0.033279155383854994
2022-04-07,0.025842010340166865
2022-04-08,0.028696397809305954
2022-04-09,0.015220097228203102
2022-04-10,0.01907912637508623
2022-04-11,0.03522557229422086
2022-04-12,0.028628083478713977
2022-04-13,0.029444700861384464
2022-04-14,0.02234677065092201
2022-04-15,0.02176816572752054
2022-04-16,0.014378730561166635
2022-04-17,0.017341314573847046
2022-04-18,0.03309477959056842
2022-04-19,0.019005401978695803
2022-04-20,0.022352477961613857
2022-04-21,0.0315344777896971
2022-04-22,0.029436588807780897
2022-04-23,0.014487250560891396
2022-04-24,0.020309878626735535
2022-04-25,0.03957225715131019
2022-04-26,0.035631434432344344
2022-04-27,0.02987354175482355
2022-04-28,0.034408592719811
2022-04-29,0.026949139303261663
2022-04-30,0.019967874824153138
2022-05-01,0.024051066858897522
