date,parkinson_rv,annualized_volatility
2021-11-09,0.01794291277809641,28.4834910041797
2021-11-10,0.050809417551205174,80.65744986031758
2021-11-11,0.025395068169392417,40.313420942246786
2021-11-12,0.034152767142242156,54.21583706584252
2021-11-13,0.019118475409426464,30.349638828027725
2021-11-14,0.02072591233185961,32.90136583501639
2021-11-15,0.022669214289403748,35.98626205619647
2021-11-16,0.048720569714627474,77.34150671897366
2021-11-17,0.03977816044734533,63.145872093180934
2021-11-18,0.046429786596330035,73.70500125581361
2021-11-19,0.031429613927171814,49.89296535244125
2021-11-20,0.024851470624333617,39.45048659172829
2021-11-21,0.023490690037485298,37.29031437869319
2021-11-22,0.04180242807828178,66.35929733627836
2021-11-23,0.03943213500365743,62.59657373040155
2021-11-24,0.03125407185963365,49.6143009592396
2021-11-25,0.0250880046595117,39.825972731938585
2021-11-26,0.04457537150205382,70.76120855565004
2021-11-27,0.027172031261522855,43.13426240067728
2021-11-28,0.03160625704106681,50.17337760254817
2021-11-29,0.026162858267988694,41.532249938236895
2021-11-30,0.04154189026660078,65.94570638217623
2021-12-01,0.03268984802373562,51.89352496038045
2021-12-02,0.03161105613953326,50.1809959351839
2021-12-03,0.048251941647618014,76.59758272535849
2021-12-04,0.13826360751812664,219.48667251816212
2021-12-05,0.041525780273693545,65.92013256126289
2021-12-06,0.05101946377657066,80.99088790600455
2021-12-07,0.032919435056924795,52.25798307681866
2021-12-08,0.034820310399116566,55.27552913408319
2021-12-09,0.037876931761266545,60.127765119885
2021-12-10,0.04509695469333916,71.58919620295352
2021-12-11,0.03662214667124198,58.13585554166293
2021-12-12,0.026011525788369527,41.29201707442145
2021-12-13,0.04374129495351712,69.43715308255854
2021-12-14,0.037801617725293106,60.008207794234025
2021-12-15,0.04377890139365952,69.49685145554525
2021-12-16,0.027181482338283262,43.149265519915176
2021-12-17,0.03987395831960671,63.29794650086058
2021-12-18,0.027108793047154005,43.03387484753182
2021-12-19,0.030540126255820373,48.48094744884893
2021-12-20,0.031661964015670924,50.26180968320474
2021-12-21,0.026278848830785198,41.71637924839087
2021-12-22,0.020950439233045015,33.25779124092473
2021-12-23,0.024112968276108343,38.278150458103525
2021-12-24,0.02364755314661231,37.539326844671464
2021-12-25,0.01759338350823874,27.92863048979088
2021-12-26,0.02216098633550082,35.179475190981464
2021-12-27,0.02050474641892993,32.5502758325585
2021-12-28,0.033576296758036535,53.300718700961355
2021-12-29,0.031932707678416786,50.69160192360812
2021-12-30,0.027359037437873348,43.43112550243118
2021-12-31,0.029867559457354663,47.41328075555743
2022-01-01,0.02345579810195086,37.234925148181695
2022-01-02,0.02131383475714943,33.83466375152529
2022-01-03,0.02282816509840739,36.23858864298617
2022-01-04,0.0262912800072003,41.73611312916987
2022-01-05,0.043378611583949546,68.8614110822377
2022-01-06,0.0309844228149805,49.18624637118857
2022-01-07,0.050569909930431756,80.27724329931485
2022-01-08,0.031333376625484105,49.7401933721731
2022-01-09,0.02350625634936786,37.315025132736224
2022-01-10,0.046541854833956876,73.88290406779156
2022-01-11,0.029962395545883848,47.563828378894826
2022-01-12,0.026195454813741165,41.583995350433355
2022-01-13,0.026402131801760247,41.912084897644384
2022-01-14,0.025890002496889514,41.099104829766574
2022-01-15,0.017201303586048128,27.306222908884127
2022-01-16,0.017597929273796033,27.935846668900677
2022-01-17,0.022933491665619053,36.405789384960286
2022-01-18,0.02507096542766042,39.79892378993255
2022-01-19,0.02691089850381131,42.71972699903095
2022-01-20,0.029809990886357236,47.3218934822419
2022-01-21,0.06692616918846499,106.24199992494712
2022-01-22,0.06390889919150766,101.45223229477568
2022-01-23,0.0394574741725201,62.63679841394537
2022-01-24,0.06791134423874748,107.80591683349492
2022-01-25,0.04175983144183364,66.2916772722406
2022-01-26,0.05254907609782368,83.41907218862997
2022-01-27,0.041259558857571876,65.49751916482046
2022-01-28,0.0345197014536975,54.798327227207054
2022-01-29,0.02580975678783845,40.97171871580908
2022-01-30,0.02106860655029582,33.44537604164951
2022-01-31,0.028522684198087796,45.278357467303245
2022-02-01,0.030504012340775606,48.42361838600251
2022-02-02,0.028396708021579238,45.07837648680699
2022-02-03,0.02961044524948813,47.0051246040237
2022-02-04,0.0392056038249207,62.23696663251772
2022-02-05,0.02466828993226516,39.159696258007195
2022-02-06,0.024868885340712504,39.47813159694305
2022-02-07,0.032054571787511796,50.88505519945402
2022-02-08,0.036920777698550386,58.60991760087839
2022-02-09,0.02905391809427781,46.121665133699246
2022-02-10,0.043928247344557865,69.73393080278015
2022-02-11,0.039314753845582195,62.41023691867845
2022-02-12,0.025241416973662133,40.06950723071676
2022-02-13,0.019566388359426014,31.060678592850195
2022-02-14,0.02586486068055366,41.0591934336467
2022-02-15,0.02306617313838092,36.6164146932685
2022-02-16,0.020997244975024885,33.332093052849885
2022-02-17,0.034854545748829485,55.329876066915816
2022-02-18,0.03333868160784417,52.9235163438712
2022-02-19,0.017477024055694138,27.743915585316092
2022-02-20,0.02752077168245499,43.687870656218735
2022-02-21,0.05217748141880826,82.82918392311616
2022-02-22,0.041606022358329386,66.04751292163958
2022-02-23,0.029920069530470297,47.4966379124313
2022-02-24,0.0727009800545761,115.40922797704522
2022-02-25,0.040695924341843624,64.6027771094509
2022-02-26,0.029397262306600697,46.66670717363908
2022-02-27,0.040133829538854665,63.710479272280516
2022-02-28,0.05620596735252798,89.22420708756269
2022-03-01,0.03893170065252364,61.80215882603316
2022-03-02,0.04001688540910631,63.52483622151871
2022-03-03,0.0320894596802568,50.94043801223626
