ticks,volume,cost,status,open,low,high,close,date_time
1.6473E+12,9173.865866,358365230,ok,39692.5,38102,39920.5,39296,2022/3/15 0:00
1.64739E+12,24206.217,975585980,ok,39293,38807,41748.5,41139.5,2022/3/16 0:00
1.64748E+12,6220.742799,254486800,ok,41140,40524,41495,40931.5,2022/3/17 0:00
1.64756E+12,9081.425689,372684810,ok,40929.5,40151,42369.5,41800,2022/3/18 0:00
1.64765E+12,4829.314044,202369930,ok,41799.5,41515,42430.5,42250,2022/3/19 0:00
1.64773E+12,5304.405606,220526010,ok,42230,40950.5,42318,41270,2022/3/20 0:00
1.64782E+12,8585.893571,352487220,ok,41290,40481,41578.5,41011.5,2022/3/21 0:00
1.64791E+12,12642.07601,537155270,ok,41000,40890,43420,42382.5,2022/3/22 0:00
1.64799E+12,9007.451033,380668830,ok,42382.5,41751,43050,42924.5,2022/3/23 0:00
1.64808E+12,12003.72112,521477420,ok,42920.5,42618,44270,44014,2022/3/24 0:00
1.64817E+12,10704.44474,474868570,ok,44020.5,43608,45141,44339.5,2022/3/25 0:00
1.64825E+12,4218.475495,187429330,ok,44340,44100,44824.5,44549.5,2022/3/26 0:00
1.64834E+12,7827.228004,357026480,ok,44549,44445.5,46981,46862,2022/3/27 0:00
1.64843E+12,9678.687965,458778880,ok,46852,46668.5,48223.5,47150.5,2022/3/28 0:00
1.64851E+12,8429.559147,401030320,ok,47160,47010,48129.5,47469,2022/3/29 0:00
1.6486E+12,8102.032637,382472360,ok,47468.5,46550,47727.5,47078.5,2022/3/30 0:00
1.64868E+12,9395.779145,436019470,ok,47081,45211.5,47588.5,45535.5,2022/3/31 0:00
1.64877E+12,14627.31861,663852770,ok,45535.5,44224,46756,46296,2022/4/1 0:00
1.64886E+12,8965.519377,416681490,ok,46296,45640,47211,45823,2022/4/2 0:00
1.64894E+12,6584.933191,306206220,ok,45824.5,45560,47500,46414.5,2022/4/3 0:00
1.64903E+12,8732.920848,401540100,ok,46420,45129,46909.5,46615,2022/4/4 0:00
1.64912E+12,9167.249255,424315890,ok,46610.5,45373,47230,45518,2022/4/5 0:00
1.6492E+12,15541.13401,689686870,ok,45522,43133.5,45522,43178,2022/4/6 0:00
1.64929E+12,7972.240604,346010140,ok,43179.5,42753,43914.5,43440,2022/4/7 0:00
1.64938E+12,10239.54585,442668260,ok,43436,42120,43981,42286,2022/4/8 0:00
1.64946E+12,3118.025601,132414860,ok,42264.5,42123.5,42826,42770,2022/4/9 0:00
1.64955E+12,5251.867277,224002940,ok,42773,41875,43516.5,42163.5,2022/4/10 0:00
1.64964E+12,15205.10126,621416330,ok,42163,39201,42422.5,39510,2022/4/11 0:00
1.64972E+12,11024.48767,441523700,ok,39509.5,39250.5,40696.5,40076,2022/4/12 0:00
1.64981E+12,12058.69823,489984880,ok,40087,39580,41559.5,41130.5,2022/4/13 0:00
1.64989E+12,7002.996539,283700630,ok,41145,39556,41500,39938.5,2022/4/14 0:00
1.64998E+12,7010.027883,282066730,ok,39947.5,39770,40857.5,40558,2022/4/15 0:00
1.65007E+12,2732.470976,110322950,ok,40558,39999,40710,40375.5,2022/4/16 0:00
1.65015E+12,4580.882938,183948420,ok,40377.5,39509.5,40611.5,39651.5,2022/4/17 0:00
1.65024E+12,13733.38737,545513280,ok,39652,38510,41132,40800.5,2022/4/18 0:00
1.65033E+12,5782.537038,238023090,ok,40806,40575,41786,41493,2022/4/19 0:00
1.65041E+12,7418.646594,307746940,ok,41496,40843.5,42205.5,41367.5,2022/4/20 0:00
1.6505E+12,10233.19865,425549230,ok,41368,39720,42990,40480.5,2022/4/21 0:00
1.65059E+12,8669.45799,347522880,ok,40483,39173.5,40829,39718,2022/4/22 0:00
1.65067E+12,2991.018954,118659290,ok,39714.5,39279,39980,39441,2022/4/23 0:00
1.65076E+12,4582.591858,181271750,ok,39444.5,38890,39964,39471,2022/4/24 0:00
1.65084E+12,15841.95254,621664690,ok,39450,38180,40644,40447.5,2022/4/25 0:00
1.65093E+12,12385.4988,485459900,ok,40446.5,37700,40827.5,38128,2022/4/26 0:00
1.65102E+12,9846.841877,383181310,ok,38122,37893,39501,39246.5,2022/4/27 0:00
1.6511E+12,11841.19042,469936200,ok,39249,38892.5,40398.5,39768.5,2022/4/28 0:00
1.65119E+12,10585.40664,413128860,ok,39759.5,38160.5,39929,38613.5,2022/4/29 0:00
1.65128E+12,4012.788664,153901490,ok,38604,37577,38799.5,37636.5,2022/4/30 0:00
1.65136E+12,6918.121541,263764430,ok,37634.5,37388,38706,38477,2022/5/1 0:00
1.65145E+12,9972.764644,385893940,ok,38477,38051.5,39200,38531,2022/5/2 0:00
1.65154E+12,7300.587551,278400060,ok,38540.5,37527,38672.5,37731.5,2022/5/3 0:00
1.65162E+12,11095.65965,433832330,ok,37733.5,37674,40050.5,39697.5,2022/5/4 0:00
1.65171E+12,24210.66407,900405590,ok,39705.5,35556,39842.5,36539.5,2022/5/5 0:00
1.6518E+12,16015.28004,576699360,ok,36545,35240,36690,36006,2022/5/6 0:00
1.65188E+12,4654.628558,165809180,ok,36005.5,34724.5,36118,35463.5,2022/5/7 0:00
1.65197E+12,15154.04912,521630400,ok,35463,33664.5,35484,34028,2022/5/8 0:00
1.65205E+12,40590.95714,1297069470,ok,34035,30029,34240,30070,2022/5/9 0:00
1.65214E+12,30924.55496,966054530,ok,30066,29750,32660.5,31026.5,2022/5/10 0:00
1.65223E+12,56019.69261,1694089950,ok,31014.5,27674.5,32183,28989,2022/5/11 0:00
1.65231E+12,54795.53416,1525391210,ok,28981.5,25300,30117,28937.5,2022/5/12 0:00
1.6524E+12,20223.93953,609731180,ok,28939,28671.5,30993,29248,2022/5/13 0:00
1.65249E+12,6897.086054,202297270,ok,29229.5,28555.5,30288,30033,2022/5/14 0:00
1.65257E+12,6737.534508,204319610,ok,30035.5,29421,31415,31278,2022/5/15 0:00
1.65266E+12,13219.49048,394490570,ok,31272,29049,31281,29841.5,2022/5/16 0:00
1.65275E+12,10558.26245,318680220,ok,29845,29367.5,30766,30429.5,2022/5/17 0:00
1.65283E+12,10920.4773,320944750,ok,30424.5,28608,30688,28665,2022/5/18 0:00
1.65292E+12,15170.02692,449981430,ok,28666,28652.5,30527.5,30302.5,2022/5/19 0:00
1.653E+12,14490.22888,430396520,ok,30302,28700.5,30779.5,29197.5,2022/5/20 0:00
1.65309E+12,4336.577955,127252070,ok,29191,28930.5,29632,29431,2022/5/21 0:00
1.65318E+12,6426.389711,192265450,ok,29425,29230,30495.5,30282,2022/5/22 0:00
1.65326E+12,11449.6571,342603820,ok,30282,28840.5,30665.5,29085.5,2022/5/23 0:00
1.65335E+12,11171.3853,326958290,ok,29093.5,28638,29840,29642,2022/5/24 0:00
1.65344E+12,10533.81749,313334530,ok,29641,29317.5,30220,29520.5,2022/5/25 0:00
1.65352E+12,19546.94152,569419030,ok,29519,27956,29869.5,29178.5,2022/5/26 0:00
1.65361E+12,17209.51368,496949100,ok,29170,28250,29366.5,28581.5,2022/5/27 0:00
1.6537E+12,3642.60079,105133690,ok,28598.5,28500,29247,29014,2022/5/28 0:00
1.65378E+12,4469.410391,130495770,ok,29014,28815,29600,29455.5,2022/5/29 0:00
1.65387E+12,15624.02758,481736150,ok,29455.5,29288.5,32197,31724.5,2022/5/30 0:00
1.65396E+12,12464.10576,395364760,ok,31729,31218.5,32400,31780,2022/5/31 0:00
