close,high,low,open,status,cost,volume,ticks,date_time
67203.0,67214.0,67202.5,67204.5,ok,121030.0,1.80088401,1729664400000,2024-10-23 06:20:00
67246.5,67252.0,67202.5,67203.0,ok,665970.0,9.90463179,1729664700000,2024-10-23 06:25:00
67227.0,67259.0,67219.0,67241.0,ok,399140.0,5.93585524,1729665000000,2024-10-23 06:30:00
67206.5,67249.0,67201.5,67227.0,ok,588760.0,8.7591276,1729665300000,2024-10-23 06:35:00
67162.0,67206.0,67162.0,67206.0,ok,312730.0,4.65392472,1729665600000,2024-10-23 06:40:00
67121.0,67162.0,67121.0,67162.0,ok,204030.0,3.03845738,1729665900000,2024-10-23 06:45:00
66937.0,67118.0,66937.0,67118.0,ok,2032240.0,30.31460452,1729666200000,2024-10-23 06:50:00
66883.5,66937.0,66861.5,66937.0,ok,2359190.0,35.26377045,1729666500000,2024-10-23 06:55:00
66917.0,66919.5,66860.5,66883.5,ok,1824620.0,27.27908694,1729666800000,2024-10-23 07:00:00
66964.0,66973.0,66920.0,66920.0,ok,6085750.0,90.8999999,1729667100000,2024-10-23 07:05:00
66864.5,66962.0,66800.0,66962.0,ok,4910820.0,73.40241615,1729667400000,2024-10-23 07:10:00
66915.0,66953.0,66823.0,66855.0,ok,1088200.0,16.2702713,1729667700000,2024-10-23 07:15:00
66927.0,66942.0,66910.0,66917.5,ok,367100.0,5.48543126,1729668000000,2024-10-23 07:20:00
66916.0,66939.0,66910.0,66927.5,ok,165210.0,2.46871327,1729668300000,2024-10-23 07:25:00
66875.0,66916.5,66836.5,66916.0,ok,1670950.0,24.98559012,1729668600000,2024-10-23 07:30:00
66851.5,66887.0,66836.5,66887.0,ok,1164460.0,17.41694911,1729668900000,2024-10-23 07:35:00
66794.5,66874.0,66794.5,66851.5,ok,1352640.0,20.24146562,1729669200000,2024-10-23 07:40:00
66794.0,66850.0,66783.0,66795.0,ok,1521580.0,22.77649238,1729669500000,2024-10-23 07:45:00
66813.0,66830.0,66773.5,66793.5,ok,1167630.0,17.47957817,1729669800000,2024-10-23 07:50:00
66829.0,66829.0,66813.0,66813.0,ok,386350.0,5.78136576,1729670100000,2024-10-23 07:55:00
66701.5,66848.5,66660.0,66828.5,ok,4143300.0,62.08068548,1729670400000,2024-10-23 08:00:00
66967.0,66975.0,66698.0,66701.0,ok,3461630.0,51.78250875,1729670700000,2024-10-23 08:05:00
66940.0,67001.5,66926.5,66970.0,ok,662290.0,9.89050831,1729671000000,2024-10-23 08:10:00
66752.0,66940.0,66733.0,66940.0,ok,1563870.0,23.39803575,1729671300000,2024-10-23 08:15:00
66793.0,66811.0,66740.0,66762.0,ok,710550.0,10.63926227,1729671600000,2024-10-23 08:20:00
66799.0,66858.5,66786.5,66792.5,ok,726790.0,10.87647543,1729671900000,2024-10-23 08:25:00
66719.5,66812.0,66695.0,66799.0,ok,2033610.0,30.46364585,1729672200000,2024-10-23 08:30:00
66711.5,66734.0,66694.0,66719.0,ok,381730.0,5.72150782,1729672500000,2024-10-23 08:35:00
66667.0,66718.5,66660.0,66718.5,ok,811710.0,12.17126041,1729672800000,2024-10-23 08:40:00
66658.0,66691.0,66609.0,66667.5,ok,1484990.0,22.27978028,1729673100000,2024-10-23 08:45:00
66652.5,66671.5,66609.0,66645.5,ok,1276280.0,19.15230239,1729673400000,2024-10-23 08:50:00
66481.5,66645.0,66379.0,66645.0,ok,6110960.0,91.91885295,1729673700000,2024-10-23 08:55:00
66522.0,66565.5,66460.0,66488.5,ok,1308430.0,19.67737377,1729674000000,2024-10-23 09:00:00
66301.5,66513.0,66274.5,66513.0,ok,8577540.0,129.26820343,1729674300000,2024-10-23 09:05:00
66189.0,66318.0,66166.0,66318.0,ok,4507780.0,68.05876295,1729674600000,2024-10-23 09:10:00
66324.5,66332.0,66168.5,66184.0,ok,2534160.0,38.25505064,1729674900000,2024-10-23 09:15:00
66334.0,66349.5,66296.5,66324.5,ok,1395510.0,21.0416511,1729675200000,2024-10-23 09:20:00
66320.0,66336.5,66294.0,66336.5,ok,446920.0,6.73943633,1729675500000,2024-10-23 09:25:00
66421.0,66425.5,66320.0,66320.0,ok,1499290.0,22.58536227,1729675800000,2024-10-23 09:30:00
66485.5,66511.0,66414.0,66414.0,ok,751410.0,11.30547771,1729676100000,2024-10-23 09:35:00
